Lon, Lat, Population
174.650299, -36.884441, 15.000000
175.012528, -39.930473, 72.000000
168.381424, -46.397579, 18.000000
173.217773, -41.325306, 33.000000
174.795731, -36.980297, 33.000000
176.243088, -38.133282, 21.000000
174.958908, -40.982666, 30.000000
174.661118, -36.919804, 9.000000
174.906326, -36.946705, 45.000000
174.964416, -41.206890, 21.000000
170.483933, -45.908005, 27.000000
172.583008, -43.358746, 45.000000
174.017075, -39.077229, 0.000000
170.353760, -45.891357, 33.000000
167.828476, -45.897820, 9.000000
174.827377, -36.960438, 48.000000
174.942169, -37.162849, 9.000000
174.692337, -36.810204, 39.000000
175.936356, -38.625259, 51.000000
176.975571, -37.937725, 15.000000
176.271515, -38.147293, 9.000000
168.375015, -46.393814, 15.000000
172.654877, -43.502647, 24.000000
174.628159, -36.925991, 0.000000
174.953918, -41.168095, 3.000000
170.631256, -45.747723, 6.000000
170.961639, -45.101902, 18.000000
174.779892, -41.332611, 15.000000
174.661880, -36.888580, 9.000000
174.817596, -41.218739, 63.000000
174.872665, -36.872204, 18.000000
175.254150, -37.785378, 3.000000
175.023926, -37.243893, 33.000000
174.742676, -36.860966, 15.000000
176.106415, -40.213768, 15.000000
168.365570, -46.421703, 12.000000
174.058090, -35.278988, 15.000000
174.880432, -37.000298, 51.000000
169.265518, -45.943844, 42.000000
174.623642, -36.848232, 36.000000
174.820999, -41.223705, 42.000000
172.383240, -43.507446, 45.000000
175.591934, -40.349323, 33.000000
172.616516, -43.462597, 54.000000
173.945221, -41.566532, 3.000000
171.249161, -42.401104, 21.000000
174.844955, -36.968582, 39.000000
172.119873, -43.488140, 39.000000
176.500382, -39.590187, 21.000000
178.040207, -38.664555, 21.000000
168.157135, -46.900623, 12.000000
174.809540, -36.973145, 39.000000
174.928757, -37.271103, 33.000000
172.568771, -43.497475, 12.000000
175.035965, -37.563732, 9.000000
174.779053, -36.910343, 15.000000
176.872421, -39.528149, 12.000000
175.034347, -41.141693, 6.000000
174.764328, -36.847668, 78.000000
174.778381, -41.301384, 12.000000
174.783661, -36.853207, 54.000000
174.731155, -39.807129, 9.000000
176.883652, -39.880550, 3.000000
176.300247, -37.781242, 36.000000
174.820435, -36.847973, 0.000000
173.272263, -41.277443, 12.000000
174.328369, -35.718124, 3.000000
175.036087, -37.240852, 39.000000
176.855881, -39.539928, 9.000000
175.588074, -40.358608, 9.000000
176.858780, -39.526546, 15.000000
175.037888, -40.883816, 54.000000
176.403381, -38.316170, 3.000000
174.834778, -36.911354, 39.000000
175.859772, -38.216328, 15.000000
175.289581, -37.964359, 21.000000
173.474808, -35.571625, 12.000000
172.629150, -43.528229, 9.000000
176.979813, -37.952267, 39.000000
175.157059, -37.543259, 18.000000
173.967819, -41.503178, 57.000000
174.853394, -36.866291, 15.000000
174.768417, -41.251671, 24.000000
174.858490, -41.133450, 9.000000
177.497726, -37.633217, 0.000000
175.724182, -36.796192, 3.000000
176.107071, -37.742432, 0.000000
171.227585, -44.078461, 21.000000
174.838440, -41.102497, 15.000000
171.243729, -44.391357, 36.000000
170.483078, -45.878170, 33.000000
174.779251, -41.243309, 81.000000
172.657364, -43.556236, 27.000000
176.854187, -39.476768, 3.000000
175.009186, -41.151596, 24.000000
174.727386, -36.706734, 45.000000
174.796036, -36.851379, 0.000000
174.885727, -37.029301, 27.000000
176.215805, -38.122921, 33.000000
169.961075, -46.116142, 27.000000
174.791885, -36.968487, 33.000000
176.126114, -37.702457, 60.000000
176.690659, -38.093273, 51.000000
174.847321, -36.883503, 6.000000
172.557373, -43.350582, 24.000000
174.871155, -41.214272, 24.000000
175.249664, -40.692852, 18.000000
174.394577, -39.463631, 0.000000
174.150162, -39.486073, 15.000000
175.384384, -40.560207, 18.000000
174.893814, -41.110294, 30.000000
175.482010, -37.897240, 57.000000
174.850906, -36.941170, 30.000000
172.566132, -43.497337, 21.000000
175.001465, -40.882927, 30.000000
174.626572, -36.845413, 21.000000
168.348984, -46.416195, 0.000000
176.209854, -37.665802, 42.000000
176.070831, -38.687370, 0.000000
172.032669, -43.456558, 9.000000
175.015869, -41.145523, 30.000000
172.546463, -43.535519, 45.000000
176.126312, -37.746208, 21.000000
175.340866, -40.607029, 9.000000
171.228256, -44.383244, 30.000000
